"id","long","lat","group","order","region"
1,864712,6525767,1,133,"RHONE-ALPES"
1,864341,6525710,1,134,"RHONE-ALPES"
1,864037,6525125,1,135,"RHONE-ALPES"
1,864156,6524396,1,136,"RHONE-ALPES"
1,863805,6524265,1,137,"RHONE-ALPES"
1,863140,6525920,1,138,"RHONE-ALPES"
1,862811,6525829,1,139,"RHONE-ALPES"
1,862484,6525731,1,140,"RHONE-ALPES"
1,862095,6525717,1,141,"RHONE-ALPES"
1,859819,6525449,1,142,"RHONE-ALPES"
1,859513,6525625,1,143,"RHONE-ALPES"
1,858815,6525633,1,144,"RHONE-ALPES"
1,858244,6525233,1,145,"RHONE-ALPES"
1,856920,6525064,1,146,"RHONE-ALPES"
1,856612,6524887,1,147,"RHONE-ALPES"
1,856272,6524836,1,148,"RHONE-ALPES"
1,855397,6525357,1,149,"RHONE-ALPES"
1,855070,6525240,1,150,"RHONE-ALPES"
1,854760,6525083,1,151,"RHONE-ALPES"
1,853789,6524841,1,152,"RHONE-ALPES"
1,853011,6524993,1,153,"RHONE-ALPES"
1,852739,6525170,1,154,"RHONE-ALPES"
1,851543,6525110,1,155,"RHONE-ALPES"
1,851178,6525172,1,156,"RHONE-ALPES"
1,849460,6524534,1,157,"RHONE-ALPES"
1,848985,6525113,1,158,"RHONE-ALPES"
1,849022,6527350,1,159,"RHONE-ALPES"
1,849118,6527714,1,160,"RHONE-ALPES"
1,848929,6528032,1,161,"RHONE-ALPES"
1,848683,6529111,1,162,"RHONE-ALPES"
1,847457,6530435,1,163,"RHONE-ALPES"
1,847501,6530768,1,164,"RHONE-ALPES"
1,848068,6532284,1,165,"RHONE-ALPES"
1,847707,6532321,1,166,"RHONE-ALPES"
1,846099,6532890,1,167,"RHONE-ALPES"
1,846043,6533270,1,168,"RHONE-ALPES"
1,845811,6534791,1,169,"RHONE-ALPES"
1,845550,6534731,1,170,"RHONE-ALPES"
1,845153,6534372,1,171,"RHONE-ALPES"
1,845139,6534732,1,172,"RHONE-ALPES"
1,845019,6535434,1,173,"RHONE-ALPES"
1,843646,6535850,1,174,"RHONE-ALPES"
1,843322,6536476,1,175,"RHONE-ALPES"
1,842964,6536322,1,176,"RHONE-ALPES"
1,839959,6534561,1,177,"RHONE-ALPES"
1,839871,6534752,1,178,"RHONE-ALPES"
1,840272,6535701,1,179,"RHONE-ALPES"
1,840351,6536061,1,180,"RHONE-ALPES"
1,840260,6537010,1,181,"RHONE-ALPES"
1,840097,6537283,1,182,"RHONE-ALPES"
1,839739,6537404,1,183,"RHONE-ALPES"
1,838636,6537555,1,184,"RHONE-ALPES"
1,838468,6537876,1,185,"RHONE-ALPES"
1,837748,6539122,1,186,"RHONE-ALPES"
1,837062,6539160,1,187,"RHONE-ALPES"
1,836448,6538777,1,188,"RHONE-ALPES"
1,836113,6538729,1,189,"RHONE-ALPES"
1,835151,6539018,1,190,"RHONE-ALPES"
1,834797,6539060,1,191,"RHONE-ALPES"
1,834170,6539371,1,192,"RHONE-ALPES"
1,834021,6540435,1,193,"RHONE-ALPES"
1,835138,6541512,1,194,"RHONE-ALPES"
1,835400,6541799,1,195,"RHONE-ALPES"
1,835527,6542033,1,196,"RHONE-ALPES"
1,835848,6543075,1,197,"RHONE-ALPES"
1,835402,6545571,1,198,"RHONE-ALPES"
1,835303,6546281,1,199,"RHONE-ALPES"
1,835339,6546390,1,200,"RHONE-ALPES"
1,835323,6546771,1,201,"RHONE-ALPES"
1,834908,6548219,1,202,"RHONE-ALPES"
1,835081,6548960,1,203,"RHONE-ALPES"
1,835097,6549583,1,204,"RHONE-ALPES"
1,835004,6549880,1,205,"RHONE-ALPES"
1,834507,6551229,1,206,"RHONE-ALPES"
1,835771,6552486,1,207,"RHONE-ALPES"
1,835978,6552785,1,208,"RHONE-ALPES"
1,836169,6553482,1,209,"RHONE-ALPES"
1,836108,6553816,1,210,"RHONE-ALPES"
1,835716,6554753,1,211,"RHONE-ALPES"
1,835194,6555124,1,212,"RHONE-ALPES"
1,835049,6556114,1,213,"RHONE-ALPES"
1,835736,6556897,1,214,"RHONE-ALPES"
1,835965,6557166,1,215,"RHONE-ALPES"
